trad	simp	py	eng	fra
雀	雀	que4	/(bound form) small bird/sparrow/also pr. [qiao3]/	/moineau/petit oiseau/
雙斑綠柳鶯	双斑绿柳莺	huang1 ban1 lu:4 liu3 ying1		/Pouillot verdâtre/
雙斑綠柳鶯	双斑绿柳莺	shuang1 ban1 lu:4 liu3 ying1	/(bird species of China) two-barred warbler (Phylloscopus plumbeitarsus)/	
雚	雚	guan4	/(archaic) stork/heron/	/(arch.) cigogne/héron/
雚	雚	huan2	/variant of 萑[huan2]/	
難以自已	难以自已	nan2 yi3 zi1 yi3		/(expr. idiom.) être hors de soi/
難以自已	难以自已	nan2 yi3 zi4 yi3	/cannot control oneself (idiom)/to be beside oneself/	
難兄難弟	难兄难弟	nan2 xiong1 nan2 di4	/lit. hard to differentiate between elder and younger brother (idiom)/fig. one is just as bad as the other/	/(expr. idiom.) difficile de différencier le frère ainé du plus jeune/aussi mauvais l'un que l'autre/
難兄難弟	难兄难弟	nan4 xiong1 nan4 di4	/brothers in hardship (idiom)/fellow sufferers/in the same boat/	
難點	难点	nan2 dian3	/difficulty/	/difficulté/
難點	难点	nan4 dian3		/obstacle/difficulté/
雱	雱	pang1	/(literary) (of rainfall or snowfall) heavy/	
雱	雱	pang2		/lourde chute de pluie ou de neige/
雲雨	云雨	yun2 yu3	/lit. cloud and rain/fig. sexual intercourse/	/nuage et pluie/(fig.) rapport sexuel/
雲雨	云雨	yun2 yu4		/nuage de pluie/rapport sexuel/acte sexuel/
零散	零散	ling2 san3	/scattered/	/dispersé/éparpillé/épars/
零散	零散	ling2 san4		/épars/
電子書	电子书	dian4 zi3 shu1	/electronic book/e-book/e-book reader/	/livre électronique/ebook/lecteur ebook/
電子書	电子书	dian4 zi5 shu1		/livre électronique/e-book/lecteur ebook/livrel/
霢	霢	mai4	/used in 霢霂[mai4mu4]/Taiwan pr. [mo4]/	/bruineux/
霢	霢	mo4		/bruineux/doucher avec grâce/
靈長	灵长	ling2 chang2	/long life and prosperity/	/longue vie et prospérité/
靈長	灵长	ling2 zhang3	/primate (monkey, hominid etc)/	
靚	靓	jing4	/to make up (one's face)/to dress/(of one's dress) beautiful/	
靚	靓	liang4	/attractive/good-looking/	/beau/charmant/se maquiller (le visage)/
靚麗	靓丽	jing4 li4		/beau/joli/
靚麗	靓丽	liang4 li4	/beautiful; pretty/Taiwan pr. [jing4 li4]/	/(Tw) joli/
鞅	鞅	yang1	/martingale (part of a horse's harness)/used in 鞅鞅[yang1 yang1]/	/martingale (calcul stochastique, méthode de jeu)/
鞅	鞅	yang4	/wooden yoke for a draft ox/	
鞝	鞝	shang4	/to sole a shoe/also written 緔|绱[shang4]/	
鞝	鞝	zhang3	/patch of leather/	
鞫	鞫	ju1	/to interrogate/to question/Taiwan pr. [ju2]/	/interroger/questionner/
鞫	鞫	ju2		/interroger/questionner/
頁	页	xie2	/head/	
頁	页	ye4	/page/leaf/	/page/feuille/
頃	顷	qing1	/variant of 傾|倾[qing1]/	
頃	顷	qing3	/unit of area equal to 100 畝|亩[mu3] or 6.67 hectares/a short while/a little while ago/circa. (for approximate dates)/	/un moment/à présent/100 meou (6,67 hectares)/
頊	顼	xu1	/surname Xu/Taiwan pr. [Xu4]//used in 顓頊|颛顼[Zhuan1 xu1]/used in 頊頊|顼顼[xu1 xu1]/Taiwan pr. [xu4]/	
頊	顼	xu4		/diligent/troublé/
頡	颉	jie2	/to confiscate/legendary dog-like animal (old)/	/confisquer/(animal légendaire semblable à un chien)/
頡	颉	xie2	/surname Xie//(of a bird) to fly upwards/(of the neck) stiff/	
頸	颈	geng3	/used in 脖頸兒|脖颈儿[bo2 geng3 r5]/	
頸	颈	jing3	/neck/	/cou/
頻數	频数	pin2 shu4	/frequency/	
頻數	频数	pin2 shuo4	/(literary) frequent; repeated/	/(litt.) fréquent/répété/
顫聲	颤声	chan4 sheng1	/trill (of voice)/see also 顫聲|颤声[zhan4 sheng1]/	/voix tremblante/voix chevrotante/
顫聲	颤声	zhan4 sheng1	/trembling voice/see also 顫聲|颤声[chan4 sheng1]/	
飬	飬	juan4	/old variant of 餋[juan4]/	
飬	飬	yang3	/old variant of 養|养[yang3]/	
飲	饮	yin3	/to drink/	/boire/
飲	饮	yin4	/to give (animals) water to drink/	
餎	饹	ge1	/used in 餎餷|饹馇[ge1 zha5]/	
餎	饹	le5	/see 餄餎|饸饹[he2 le5]/	
餲	餲	ai4	/(literary) (of food) spoiled; sour; gone off/	
餲	餲	he2	/deep-fried noodle cake, also known as 饊子|馓子[san3 zi5]/	/gâté/aigre/moisi/
餷	馇	cha1	/to cook and stir (animal feed)/(coll.) to simmer (porridge etc)/	
餷	馇	zha5	/used in 餎餷|饹馇[ge1 zha5]/	
騎	骑	ji4	/(Tw) saddle horse/mounted soldier/	
騎	骑	qi2	/to sit astride/to ride (a horse, bike etc)/classifier for saddle horses/	/chevaucher/monter à califourchon/monter à (vélo...)/
驔	驔	dian4	/black horse/	/cheval noir/
驔	驔	tan2		/cheval noir/
高教	高教	gao1 jiao1		/enseignement supérieur/
高教	高教	gao1 jiao4	/higher education (abbr. for 高等教育[gao1 deng3 jiao4 yu4])/	
高村正彥	高村正彦	gao1 cun1 zheng1 yan4		/Masahiko Komura/
高村正彥	高村正彦	gao1 cun1 zheng4 yan4	/KOMURA Masahiko (1942-), Japanese politician, foreign minister from 1998, minister of defense from 2007/	/Masahiko Komura/
高蹺鷸	高跷鹬	gao1 qiao1 yu4	/(bird species of China) stilt sandpiper (Calidris himantopus)/	
高蹺鷸	高跷鹬	gao1 qiao4 yu4		/Bécasseau à échasses/
鬄	鬄	di2	/wig/Taiwan pr. [ti4]/	/perruque/
鬄	鬄	ti4	/old variant of 剃[ti4]/	
鬲	鬲	ge2	/surname Ge//earthen pot/iron cauldron/	
鬲	鬲	li4	/ancient ceramic three-legged vessel used for cooking with cord markings on the outside and hollow legs/	/type de chaudron en céramique à trois pieds creux/
魆	魆	xu1	/dim; dark/sudden/surreptitious/Taiwan pr. [xu4]/	
魆	魆	xu4		/envouter/soudainement/
魟	魟	gong1		/dasyatidés/raie (poisson)/
魟	魟	hong1		/raie (poisson)/
鮮	鲜	xian1	/fresh/bright (in color)/delicious/tasty/delicacy/aquatic foods/	
鮮	鲜	xian3	/few/rare/	
鯖	鲭	qing1	/mackerel/	/maquereau/
鯖	鲭	zheng1	/(literary) boiled stew of fish and meat/	
鱣	鳣	shan4	/see 鱔|鳝[shan4]/	
鱣	鳣	zhan1	/sturgeon (old)/Acipenser micadoi/	/esturgeon (arch.)/Acipenser micadoi/
鴉嘴卷尾	鸦嘴卷尾	ya1 zui3 juan3 wei3	/(bird species of China) crow-billed drongo (Dicrurus annectans)/	/Drongo à gros bec/Dicrurus annectans/
鴉嘴卷尾	鸦嘴卷尾	ya1 zui3 juan4 wei3		/Drongo à gros bec/
鴛鴦	鸳鸯	yuan1 yang1	/(bird species of China) mandarin duck (Aix galericulata)/(fig.) affectionate couple; happily married couple/	/canard mandarin/couple affectueux/couple marié heureux/
鴛鴦	鸳鸯	yuan1 yang5		/canard mandarin/
鵠	鹄	gu3	/center or bull's eye of an archery target (old)/goal/target/	
鵠	鹄	hu2	/swan/	/cygne/
鷺鷥	鹭鸶	lu4 si1	/egret/	/aigrette/
鷺鷥	鹭鸶	lu4si1		/aigrette garzette/héron blanc/
麇	麇	jun1	/hornless deer/	/daim/
麇	麇	qun2	/(literary) in large numbers; thronging/	
麵糊	面糊	mian4 hu2	/starchy/floury and without fiber/	/farineux et sans fibres/féculent/
麵糊	面糊	mian4 hu4	/flour paste/	
黑塞哥維那	黑塞哥维那	hei1 sai4 ge1 wei2 na4	/Herzegovina/	/Herzégovine/
黑塞哥維那	黑塞哥维那	hei1 se4 ge1 wei2 na4		/Herzégovine/
黑子	黑子	hei1 zi3	/black piece (in Chinese chess); black stone (in Go)/(astronomy) sunspot/	/tache solaire/
黑子	黑子	hei1 zi5	/(slang) hater; detractor/	
點兒背	点儿背	dian3 r bei4		/ne pas avoir de chance (dial.)/
點兒背	点儿背	dian3 r5 bei4	/(dialect) to be out of luck/	
齰	齰	cuo4		/mordre/
齰	齰	ze2	/to bite/	/mordre/
龜	龟	gui1	/tortoise; turtle/(coll.) cuckold/	/tortue/(213e radical)/
龜	龟	jun1	/variant of 皸|皲[jun1]/	
龜	龟	qiu1	/used in 龜茲|龟兹[Qiu1 ci2]/	
